"","country","Population","Value"
"1","afghanistan","Afghanistan",115.2
"2","american samoa",NA,NA
"3","angola","Angola",100.8
"4","antigua and barbuda",NA,NA
"5","argentina","Argentina",216.7
"6","armenia","Armenia",257
"7","azerbaijan","Azerbaijan",141.9
"8","bahamas","Bahamas",208.9
"9","bangladesh","Bangladesh",104.4
"10","belize","Belize",160.7
"11","benin","Benin",94.3
"12","bhutan","Bhutan",79.2
"13","bolivia (plurinational state of)","Bolivia (Plurinational State of)",143.9
"14","botswana","Botswana",107.6
"15","brazil","Brazil",205.5
"16","brunei darussalam","Brunei Darussalam",163.2
"17","burkina faso","Burkina Faso",88.2
"18","burundi","Burundi",135.8
"19","cabo verde","Cabo Verde",74.9
"20","cambodia","Cambodia",140.4
"21","cameroon","Cameroon",97.6
"22","central african republic","Central African Republic",92.9
"23","chad","Chad",88.1
"24","chile","Chile",175.7
"25","china","China",174
"26","colombia","Colombia",160.6
"27","comoros","Comoros",101.5
"28","congo","Congo",107.8
"29","cook islands",NA,NA
"30","costa rica","Costa Rica",179.3
"31","cuba","Cuba",218
"32","democratic people's republic of korea",NA,NA
"33","democratic republic of the congo","Democratic Republic of the Congo",88.2
"34","djibouti","Djibouti",92.7
"35","dominica",NA,NA
"36","dominican republic","Dominican Republic",153.4
"37","ecuador","Ecuador",164.5
"38","egypt","Egypt",152
"39","el salvador","El Salvador",153.4
"40","equatorial guinea","Equatorial Guinea",86.4
"41","eritrea","Eritrea",101.7
"42","ethiopia","Ethiopia",108
"43","fiji","Fiji",139.1
"44","french polynesia","French Polynesia",255
"45","gabon","Gabon",90.2
"46","gambia",NA,NA
"47","ghana","Ghana",91.7
"48","grenada",NA,NA
"49","guatemala","Guatemala",130.4
"50","guinea","Guinea",90
"51","guinea-bissau","Guinea-Bissau",83.1
"52","guyana","Guyana",165.9
"53","haiti","Haiti",106.9
"54","honduras","Honduras",131.2
"55","india","India",94
"56","indonesia","Indonesia",133.5
"57","iraq","Iraq",135.3
"58","jamaica","Jamaica",198.5
"59","kenya","Kenya",181.8
"60","kiribati",NA,NA
"61","kyrgyzstan","Kyrgyzstan",137.6
"62","lao people's democratic republic",NA,NA
"63","lebanon","Lebanon",197.4
"64","lesotho","Lesotho",103
"65","liberia","Liberia",89.2
"66","madagascar","Madagascar",137.5
"67","malasya",NA,NA
"68","malawi","Malawi",156
"69","malaysia","Malaysia",143.6
"70","maldives","Maldives",88.9
"71","mali","Mali",111.4
"72","marshall islands",NA,NA
"73","mauritania","Mauritania",85.7
"74","mauritius","Mauritius",180.2
"75","mexico","Mexico",131.5
"76","micronesia (federated states of)",NA,NA
"77","montenegro","Montenegro",238.3
"78","mozambique","Mozambique",136.8
"79","myanmar","Myanmar",140.5
"80","namibia","Namibia",82.7
"81","nauru",NA,NA
"82","nepal","Nepal",85.2
"83","new caledonia",NA,NA
"84","nicaragua","Nicaragua",114.4
"85","niger","Niger",63.4
"86","nigeria","Nigeria",100.1
"87","niue",NA,NA
"88","pakistan","Pakistan",111.8
"89","palau",NA,NA
"90","panama","Panama",148.4
"91","papua new guinea","Papua New Guinea",165.2
"92","paraguay","Paraguay",147.5
"93","peru","Peru",154.5
"94","philippines","Philippines",140
"95","republic of moldova","Republic of Moldova",194.1
"96","romania","Romania",224.2
"97","rwanda","Rwanda",135.8
"98","saint kitts and nevis",NA,NA
"99","saint lucia",NA,NA
"100","saint vincent and the grenadines",NA,NA
"101","samoa","Samoa",92.7
"102","sao tome and principe",NA,NA
"103","senegal","Senegal",101.2
"104","serbia","Serbia",269.7
"105","sierra leone","Sierra Leone",92.3
"106","solomon islands","Solomon Islands",116.3
"107","somalia","Somalia",139.1
"108","south africa","South Africa",187.1
"109","south sudan","South Sudan",132.7
"110","sri lanka","Sri Lanka",94.8
"111","sudan","Sudan",91.1
"112","suriname","Suriname",159.6
"113","swaziland","Swaziland",115.3
"114","tajikistan","Tajikistan",119.1
"115","thailand","Thailand",137.5
"116","the former yugoslav republic of macedonia","The former Yugoslav Republic of Macedonia",239.3
"117","timor-leste","Timor-Leste",165.4
"118","togo","Togo",91.1
"119","tonga",NA,NA
"120","trinidad and tobago","Trinidad and Tobago",210.9
"121","tunisia","Tunisia",110.6
"122","turkey","Turkey",205.1
"123","tuvalu",NA,NA
"124","uganda","Uganda",169.7
"125","united republic of tanzania","United Republic of Tanzania",123.7
"126","uruguay","Uruguay",251
"127","uzbekistan","Uzbekistan",99.7
"128","vanuatu","Vanuatu",107.8
"129","venezuela (bolivarian republic of)","Venezuela (Bolivarian Republic of)",150
"130","viet nam","Viet Nam",140.4
"131","wallis and futuna",NA,NA
"132","yemen","Yemen",80.4
"133","zambia","Zambia",136.2
"134","zimbabwe","Zimbabwe",190.3
